Link KawalPemilu,Nama Kelurahan,Nomor TPS,Suara 01,Suara 02,Suara Sah
https://kawalpemilu.org#67396,"SIDONDO II, SIGI BIROMARU, SIGI, SULAWESI TENGAH",1,61,136,197
https://kawalpemilu.org#67396,"SIDONDO II, SIGI BIROMARU, SIGI, SULAWESI TENGAH",2,63,93,156
https://kawalpemilu.org#67396,"SIDONDO II, SIGI BIROMARU, SIGI, SULAWESI TENGAH",3,46,149,195
https://kawalpemilu.org#67397,"SIDONDO I, SIGI BIROMARU, SIGI, SULAWESI TENGAH",1,83,90,173
https://kawalpemilu.org#67397,"SIDONDO I, SIGI BIROMARU, SIGI, SULAWESI TENGAH",2,65,99,164
https://kawalpemilu.org#67397,"SIDONDO I, SIGI BIROMARU, SIGI, SULAWESI TENGAH",3,105,110,215
https://kawalpemilu.org#67397,"SIDONDO I, SIGI BIROMARU, SIGI, SULAWESI TENGAH",4,121,104,225
https://kawalpemilu.org#67397,"SIDONDO I, SIGI BIROMARU, SIGI, SULAWESI TENGAH",5,48,75,123
https://kawalpemilu.org#67397,"SIDONDO I, SIGI BIROMARU, SIGI, SULAWESI TENGAH",6,52,82,134
https://kawalpemilu.org#67397,"SIDONDO I, SIGI BIROMARU, SIGI, SULAWESI TENGAH",7,88,72,160
https://kawalpemilu.org#67397,"SIDONDO I, SIGI BIROMARU, SIGI, SULAWESI TENGAH",8,35,74,109
https://kawalpemilu.org#67397,"SIDONDO I, SIGI BIROMARU, SIGI, SULAWESI TENGAH",9,54,101,155
https://kawalpemilu.org#67397,"SIDONDO I, SIGI BIROMARU, SIGI, SULAWESI TENGAH",10,68,99,167
https://kawalpemilu.org#67397,"SIDONDO I, SIGI BIROMARU, SIGI, SULAWESI TENGAH",11,75,54,129
https://kawalpemilu.org#67397,"SIDONDO I, SIGI BIROMARU, SIGI, SULAWESI TENGAH",12,74,47,121
https://kawalpemilu.org#67398,"BORA, SIGI BIROMARU, SIGI, SULAWESI TENGAH",1,96,155,251
https://kawalpemilu.org#67398,"BORA, SIGI BIROMARU, SIGI, SULAWESI TENGAH",2,90,136,226
