Link KawalPemilu,Nama Kelurahan,Nomor TPS,Suara 01,Suara 02,Suara Sah
https://kawalpemilu.org#748,"BUKIT DINDENG, JULOK, ACEH TIMUR, ACEH",2,13,130,143
https://kawalpemilu.org#6514,"GAMPONG COT BA' U, SUKAJAYA, KOTA SABANG, ACEH",20,7,88,95
https://kawalpemilu.org#3923,"MATANG PANYANG, BAKTIYA BARAT, ACEH UTARA, ACEH",2,0,0,0
https://kawalpemilu.org#2535,"KRUENG JANGKO, GEULUMPANG TIGA, PIDIE, ACEH",1,15,159,174
https://kawalpemilu.org#2304,"CUCUM, KOTA JANTHO, ACEH BESAR, ACEH",1,25,130,155
https://kawalpemilu.org#929299,"BABAH LHUNG, BLANG PIDIE, ACEH BARAT DAYA, ACEH",2,11,222,233
https://kawalpemilu.org#295,"PULO GADUNG, LAWE ALAS, ACEH TENGGARA, ACEH",1,11,204,215
https://kawalpemilu.org#3912,"BUKET LINTEUNG, LANGKAHAN, ACEH UTARA, ACEH",55,32,115,147
https://kawalpemilu.org#3408,"TEUNGOH GLUMPANG VII, MATANGKULI, ACEH UTARA, ACEH",33,15,201,216
https://kawalpemilu.org#3627,"MEUCAT, SYAMTALIRA ARON, ACEH UTARA, ACEH",17,10,176,186
https://kawalpemilu.org#5638,"SUAK BILIE, SUKA MAKMUE, NAGAN RAYA, ACEH",1,4,175,179
https://kawalpemilu.org#3383,"BULOH, LHOKSUKON, ACEH UTARA, ACEH",1,4,112,116
https://kawalpemilu.org#6086,"KERLANG, SYIAH UTAMA, BENER MERIAH, ACEH",1,31,34,65
https://kawalpemilu.org#307,"SUKA DAMAI, LAWE SIGALA-GALA, ACEH TENGGARA, ACEH",1,18,171,189
https://kawalpemilu.org#3460,"PALOH RAYA, MUARA BATU, ACEH UTARA, ACEH",70,7,189,196
https://kawalpemilu.org#3817,"PAYA GABOH, SAWANG, ACEH UTARA, ACEH",54,8,164,172
https://kawalpemilu.org#802,"ALUE TEH, BIREM BAYEUN, ACEH TIMUR, ACEH",2,17,157,174
https://kawalpemilu.org#4480,"BLANG MATANG, PEUDADA, BIREUEN, ACEH",1,15,198,213
https://kawalpemilu.org#1498,"UJONG BAROH, JOHAN PAHWALAN, ACEH BARAT, ACEH",8,26,202,228
https://kawalpemilu.org#6523,"MEUNASAH MEE, MUARA DUA, KOTA LHOKSEUMAWE, ACEH",3,17,174,191
https://kawalpemilu.org#3122,"DAYAH KUMBA, MUTIARA TIMUR, PIDIE, ACEH",1,6,173,179
https://kawalpemilu.org#6493,"CEURIH, ULEE KARENG, KOTA BANDA ACEH, ACEH",2,21,160,181
https://kawalpemilu.org#910,"BAYEUN, RANTAU SELAMAT, ACEH TIMUR, ACEH",4,21,174,195
https://kawalpemilu.org#241,"AUR PEULUMAT, LABUHAN HAJI TIMUR, ACEH SELATAN, ACEH",2,2,145,147
https://kawalpemilu.org#169,"MATA IE, PASIE RAJA, ACEH SELATAN, ACEH",2,14,161,175
https://kawalpemilu.org#3914,"SEUREUKE, LANGKAHAN, ACEH UTARA, ACEH",61,55,165,220
https://kawalpemilu.org#6641,"ALUE DUA, LANGSA BARO, KOTA LANGSA, ACEH",9,25,196,221
https://kawalpemilu.org#757,"GAMPONG JAWA, IDI RAYEUK, ACEH TIMUR, ACEH",3,23,197,220
https://kawalpemilu.org#5900,"SELAMAT, TENGGULUN, ACEH TAMIANG, ACEH",14,20,118,138
https://kawalpemilu.org#5544,"IE BEUDOH, SEUNAGAN TIMUR, NAGAN RAYA, ACEH",2,8,170,178
https://kawalpemilu.org#1504,"PADANG SEURAHET, JOHAN PAHWALAN, ACEH BARAT, ACEH",3,25,216,241
https://kawalpemilu.org#1198,"MATANG BUNGONG, IDI TIMUR, ACEH TIMUR, ACEH",1,13,182,195
https://kawalpemilu.org#951,"SEUNEUBOK BARO, RANTAU PEUREULAK, ACEH TIMUR, ACEH",2,11,142,153
https://kawalpemilu.org#6541,"KAMPUNG JAWA, BANDA SAKTI, KOTA LHOKSEUMAWE, ACEH",7,23,171,194
https://kawalpemilu.org#5396,"KUALA, INDRA JAYA, ACEH JAYA, ACEH",1,9,242,251
https://kawalpemilu.org#5869,"SUKA RAKYAT, RANTAU, ACEH TAMIANG, ACEH",4,6,108,114
https://kawalpemilu.org#5621,"SERBA JADI, DARUL MAKMUR, NAGAN RAYA, ACEH",5,31,152,183
https://kawalpemilu.org#6414,"KOTA BARU, KUTA ALAM, KOTA BANDA ACEH, ACEH",1,47,168,215
https://kawalpemilu.org#4072,"ULEE NYEUE, BANDA BARO, ACEH UTARA, ACEH",13,11,230,241
https://kawalpemilu.org#1619,"BAKAT, WOYLA, ACEH BARAT, ACEH",2,13,163,176
https://kawalpemilu.org#5945,"GUNUNG TUNYANG, TIMANG GAJAH, BENER MERIAH, ACEH",2,32,121,153
https://kawalpemilu.org#6412,"LAKSANA, KUTA ALAM, KOTA BANDA ACEH, ACEH",11,42,111,153
https://kawalpemilu.org#4939,"MATA IE, PEUSANGAN SELATAN, BIREUEN, ACEH",1,18,151,169
https://kawalpemilu.org#53910,"BANYUNING, BULELENG, BULELENG, BALI",43,140,17,157
https://kawalpemilu.org#54001,"DAUH PURI, DENPASAR BARAT, KOTA DENPASAR, BALI",2,86,119,205
https://kawalpemilu.org#53667,"TAMANBALI, BANGLI, BANGLI, BALI",26,159,10,169
https://kawalpemilu.org#54006,"PADANGSAMBIAN, DENPASAR BARAT, KOTA DENPASAR, BALI",1,238,4,242
https://kawalpemilu.org#54006,"PADANGSAMBIAN, DENPASAR BARAT, KOTA DENPASAR, BALI",24,147,10,157
https://kawalpemilu.org#53811,"TULAMBEN, KUBU, KARANGASEM, BALI",26,117,3,120
https://kawalpemilu.org#53975,"PEDUNGAN, DENPASAR SELATAN, KOTA DENPASAR, BALI",15,183,19,202
https://kawalpemilu.org#53534,"ABIANBASE, GIANYAR, GIANYAR, BALI",16,206,18,224
https://kawalpemilu.org#53285,"TUWED, MELAYA, JEMBRANA, BALI",9,134,42,176
https://kawalpemilu.org#53575,"TARO, TEGALALLANG, GIANYAR, BALI",27,163,5,168
https://kawalpemilu.org#53813,"SUKADANA, KUBU, KARANGASEM, BALI",14,129,7,5
https://kawalpemilu.org#53384,"SELANBAWAK, MARGA, TABANAN, BALI",7,237,11,248
https://kawalpemilu.org#53366,"BUWIT, KEDIRI, TABANAN, BALI",5,171,20,191
https://kawalpemilu.org#53531,"BONA, BLAHBATUH, GIANYAR, BALI",10,222,15,237
https://kawalpemilu.org#53497,"JIMBARAN, KUTA SELATAN, BADUNG, BALI",81,176,17,193
