,Link KawalPemilu,Nama Kelurahan,Nomor TPS,Suara 01,Suara 02,Suara Sah
1396,https://kawalpemilu.org#730,"JULOK TUNONG, JULOK, ACEH TIMUR, ACEH",4,4,130,134
11968,https://kawalpemilu.org#5826,"SRIWIJAYA, KOTA KUALASIMPANG, ACEH TAMIANG, ACEH",5,27,186,213
1375,https://kawalpemilu.org#716,"KEMUNING LIMONG, DARUL AMAN, ACEH TIMUR, ACEH",1,13,91,104
15095,https://kawalpemilu.org#6668,"KAMPUNG BARU, PENANGGALAN, KOTA SUBULUSSALAM, ACEH",2,17,218,235
6473,https://kawalpemilu.org#3395,"RAWA, LHOKSUKON, ACEH UTARA, ACEH",124,48,77,125
1193,https://kawalpemilu.org#554,"TUAH MESADE, BABUL RAHMAH, ACEH TENGGARA, ACEH",1,12,161,173
4576,https://kawalpemilu.org#2510,"CEURIH BLANG MEE, DELIMA, PIDIE, ACEH",1,6,107,113
9554,https://kawalpemilu.org#4724,"PANTE BARO, JULI, BIREUEN, ACEH",2,7,176,183
14163,https://kawalpemilu.org#6529,"PANGGOI, MUARA DUA, KOTA LHOKSEUMAWE, ACEH",11,19,222,241
1438,https://kawalpemilu.org#749,"PAYA PASI, JULOK, ACEH TIMUR, ACEH",1,21,219,240
10479,https://kawalpemilu.org#929317,"ALUE SEULASEH, JEUMPA, ACEH BARAT DAYA, ACEH",1,27,191,218
13441,https://kawalpemilu.org#6405,"ATEUK PAHLAWAN, BAITURRAHMAN, KOTA BANDA ACEH, ACEH",6,17,159,176
9182,https://kawalpemilu.org#4518,"BLANG COT BAROH, JEUMPA, BIREUEN, ACEH",3,6,146,152
11626,https://kawalpemilu.org#5577,"BABAH SUAK, BEUTONG ATEUH BANGGALANG, NAGAN RAYA, ACEH",2,3,143,146
13002,https://kawalpemilu.org#6211,"BALEE ULIM, ULIM, PIDIE JAYA, ACEH",1,17,185,202
9753,https://kawalpemilu.org#4833,"TAMBUE BARAT, SIMPANG MAMPLAM, BIREUEN, ACEH",2,14,107,121
5751,https://kawalpemilu.org#3158,"GRONG-GRONG, GRONG-GRONG, PIDIE, ACEH",2,27,178,205
2923,https://kawalpemilu.org#1477,"TAKENGON TIMUR, LUT TAWAR, ACEH TENGAH, ACEH",6,56,195,251
2914,https://kawalpemilu.org#1474,"UNING BERAWANG RAMUNG, CELALA, ACEH TENGAH, ACEH",1,76,119,195
13825,https://kawalpemilu.org#6471,"LAM ARA, BANDA RAYA, KOTA BANDA ACEH, ACEH",4,21,238,259
10885,https://kawalpemilu.org#5351,"LHOK TIMON, SETIA BAKTI, ACEH JAYA, ACEH",5,9,154,163
6913,https://kawalpemilu.org#3583,"COT TRUENG, SEUNUDDON, ACEH UTARA, ACEH",36,9,198,207
6894,https://kawalpemilu.org#3577,"ALUE CAPLI, SEUNUDDON, ACEH UTARA, ACEH",25,7,181,188
8876,https://kawalpemilu.org#4328,"TELAGA BAKTI, SINGKIL UTARA, ACEH SINGKIL, ACEH",4,78,68,146
4145,https://kawalpemilu.org#2254,"LAM DURO, DARUSSALAM, ACEH BESAR, ACEH",1,11,224,235
960,https://kawalpemilu.org#419,"LAWE DESKY SABAS, BABUL MAKMUR, ACEH TENGGARA, ACEH",3,169,3,172
1710,https://kawalpemilu.org#867,"BEURANDANG, NURUSSALAM, ACEH TIMUR, ACEH",1,8,82,90
5642,https://kawalpemilu.org#3107,"MESJID USI, MUTIARA TIMUR, PIDIE, ACEH",3,11,112,123
5253,https://kawalpemilu.org#2891,"PALOH, PIDIE, PIDIE, ACEH",4,8,168,176
3032,https://kawalpemilu.org#1500,"DRIEN RAMPAK, JOHAN PAHWALAN, ACEH BARAT, ACEH",5,15,211,226
5228,https://kawalpemilu.org#2881,"KEUNIREE, PIDIE, PIDIE, ACEH",1,13,196,209
982,https://kawalpemilu.org#428,"LAWE MANTIK, BABUL MAKMUR, ACEH TENGGARA, ACEH",3,145,2,147
2660,https://kawalpemilu.org#1339,"KUNG, PEGASING, ACEH TENGAH, ACEH",1,91,150,241
10543,https://kawalpemilu.org#5160,"KUTELINTANG, BLANGKEJEREN, GAYO LUES, ACEH",2,21,221,242
3867,https://kawalpemilu.org#2077,"LAMTHEUN, DARUL IMARAH, ACEH BESAR, ACEH",2,30,192,222
4479,https://kawalpemilu.org#2459,"GEUNTENG TIMUR, BATEE, PIDIE, ACEH",3,20,190,210
5124,https://kawalpemilu.org#2816,"DUA PAYA, PEUKAN BARO, PIDIE, ACEH",3,6,138,144
11255,https://kawalpemilu.org#5557,"BLANG MESJID, BEUTONG, NAGAN RAYA, ACEH",1,10,157,167
1722,https://kawalpemilu.org#883,"BEUSA MEURANOE, PEUREULAK, ACEH TIMUR, ACEH",1,26,145,171
9961,https://kawalpemilu.org#4928,"TANJONG BEURIDI, PEUSANGAN SELATAN, BIREUEN, ACEH",7,9,180,189
